rgb_conv.0.weight	[8, 5, 1, 1]
feature_extractor.backbone.conv11.bottleneck_conv.bn.weight	[184]
feature_extractor.backbone.conv11.bottleneck_conv.bn.bias	[184]
feature_extractor.backbone.conv11.bottleneck_conv.bn._mean	[184]
feature_extractor.backbone.conv11.bottleneck_conv.bn._variance	[184]
feature_extractor.backbone.conv11.linear_conv.conv.weight	[80, 184, 1, 1]
feature_extractor.backbone.conv11.linear_conv.bn.weight	[80]
feature_extractor.backbone.conv11.linear_conv.bn.bias	[80]
feature_extractor.backbone.conv11.linear_conv.bn._mean	[80]
feature_extractor.backbone.conv11.linear_conv.bn._variance	[80]
feature_extractor.backbone.conv12.expand_conv.conv.weight	[480, 80, 1, 1]
feature_extractor.backbone.conv12.expand_conv.bn.weight	[480]
feature_extractor.backbone.conv12.expand_conv.bn.bias	[480]
feature_extractor.backbone.conv12.expand_conv.bn._mean	[480]
feature_extractor.backbone.conv12.expand_conv.bn._variance	[480]
feature_extractor.backbone.conv12.bottleneck_conv.conv.weight	[480, 1, 3, 3]
feature_extractor.backbone.conv12.bottleneck_conv.bn.weight	[480]
feature_extractor.backbone.conv12.bottleneck_conv.bn.bias	[480]
feature_extractor.backbone.conv12.bottleneck_conv.bn._mean	[480]
feature_extractor.backbone.conv12.bottleneck_conv.bn._variance	[480]
feature_extractor.backbone.conv12.mid_se.conv1.weight	[120, 480, 1, 1]
feature_extractor.backbone.conv12.mid_se.conv1.bias	[120]
feature_extractor.backbone.conv12.mid_se.conv2.weight	[480, 120, 1, 1]
feature_extractor.backbone.conv12.mid_se.conv2.bias	[480]
feature_extractor.backbone.conv12.linear_conv.conv.weight	[112, 480, 1, 1]
feature_extractor.backbone.conv12.linear_conv.bn.weight	[112]
feature_extractor.backbone.conv12.linear_conv.bn.bias	[112]
feature_extractor.backbone.conv12.linear_conv.bn._mean	[112]
feature_extractor.backbone.conv12.linear_conv.bn._variance	[112]
feature_extractor.backbone.conv13.expand_conv.conv.weight	[672, 112, 1, 1]
feature_extractor.backbone.conv13.expand_conv.bn.weight	[672]
feature_extractor.backbone.conv13.expand_conv.bn.bias	[672]
feature_extractor.backbone.conv13.expand_conv.bn._mean	[672]
feature_extractor.backbone.conv13.expand_conv.bn._variance	[672]
feature_extractor.backbone.conv13.bottleneck_conv.conv.weight	[672, 1, 3, 3]
feature_extractor.backbone.conv13.bottleneck_conv.bn.weight	[672]
